"Municipio","Año","Tipo de delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total"
"Acatlán",2020,"Narcomenudeo",0,1,0,1,0,0,2,0,0,0,0,0,4
"Acatlán",2020,"Otros delitos contra el patrimonio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Otros delitos contra la familia",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Otros delitos contra la sociedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Otros delitos del Fuero Común",2,1,2,1,0,1,2,1,2,0,1,1,14
"Acatlán",2020,"Otros delitos que atentan contra la libertad personal",1,1,0,0,1,0,0,0,0,2,0,0,5
"Acatlán",2020,"Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Otros delitos que atentan contra la vida y la integridad corporal",0,0,0,0,0,0,0,0,0,1,0,0,1
"Acatlán",2020,"Rapto",0,0,0,0,0,0,1,0,0,0,0,0,1
"Acatlán",2020,"Robo",3,4,4,0,2,0,0,7,2,4,2,4,32
"Acatlán",2020,"Secuestro",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Trata de personas",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Tráfico de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Violación",0,1,1,2,0,0,1,0,0,1,1,0,7
"Acatlán",2020,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2020,"Violencia familiar",4,5,4,1,1,2,3,1,3,1,4,3,32
"Acatlán",2021,"Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Abuso de confianza",0,0,0,1,0,0,0,0,0,0,0,0,1
"Acatlán",2021,"Abuso sexual",0,0,2,0,1,0,0,0,0,0,0,0,3
"Acatlán",2021,"Acoso sexual",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Allanamiento de morada",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Amenazas",0,0,0,3,2,0,0,0,0,0,0,2,7
"Acatlán",2021,"Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Daño a la propiedad",0,0,0,0,1,0,0,0,0,0,0,0,1
"Acatlán",2021,"Delitos cometidos por servidores públicos",0,0,1,1,0,0,0,0,0,1,1,0,4
"Acatlán",2021,"Despojo",0,0,1,0,0,0,0,0,0,0,0,0,1
"Acatlán",2021,"Electorales",1,0,0,0,0,0,0,0,0,0,0,0,1
"Acatlán",2021,"Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Extorsión",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Falsedad",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Falsificación",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
"Acatlán",2021,"Fraude",0,0,0,0,2,0,0,0,0,0,0,1,3
"Acatlán",2021,"Homicidio",0,0,0,0,0,0,0,0,0,0,0,0,0
